district_id,dem_votes,rep_votes,other_votes,total_votes,dem_pct,rep_pct,margin,winner_party
OH-09,150655,115362,0,266017,56.63,43.37,13.260000000000005,D
OH-10,104634,168327,0,272961,38.33,61.67,-23.340000000000003,R
OH-11,167722,47988,0,215710,77.75,22.25,55.5,D
OH-12,84893,191344,0,276237,30.73,69.27,-38.53999999999999,R
OH-13,149816,134593,0,284409,52.68,47.32,5.359999999999999,D
OH-14,113639,183389,0,297028,38.26,61.74,-23.480000000000004,R
OH-15,108139,143112,0,251251,43.04,56.96,-13.920000000000002,R
OK-01,80974,142800,9721,233495,36.19,63.81,-27.620000000000005,R
OK-02,54194,167843,9635,231672,24.41,75.59,-51.18000000000001,R
OK-03,50354,147418,0,197772,25.46,74.54,-49.080000000000005,R
OK-04,74667,149879,0,224546,33.25,66.75,-33.5,R
OK-05,96799,152699,9328,258826,38.8,61.2,-22.400000000000006,R
OR-01,210682,99042,519,310243,68.02,31.98,36.03999999999999,D
OR-02,99882,208369,425,308676,32.4,67.6,-35.199999999999996,R
OR-03,212119,79766,11449,303334,72.67,27.33,45.34,D
OR-04,171372,146055,21650,339077,53.99,46.01,7.980000000000004,D
OR-05,171514,178813,906,351233,48.96,51.04,-2.0799999999999983,R
OR-06,147156,139946,7275,294377,51.26,48.74,2.519999999999996,D
PA-01,165809,201571,0,367380,45.13,54.87,-9.739999999999995,R
PA-02,141229,45454,0,186683,75.65,24.35,51.300000000000004,D
PA-03,251115,0,12820,263935,100.0,0.0,100.0,D
PA-04,224799,141986,0,366785,61.29,38.71,22.58,D
PA-05,205128,110058,0,315186,65.08,34.92,30.159999999999997,D
PA-06,190386,136097,0,326483,58.31,41.69,16.620000000000005,D
PA-07,151364,145527,0,296891,50.98,49.02,1.9599999999999937,D
PA-08,146956,139930,0,286886,51.22,48.78,2.4399999999999977,D
PA-09,92622,209185,0,301807,30.69,69.31,-38.620000000000005,R
PA-10,145215,169331,0,314546,46.17,53.83,-7.659999999999997,R
PA-11,121835,194991,0,316826,38.45,61.55,-23.099999999999994,R
PA-12,184674,143946,0,328620,56.2,43.8,12.400000000000006,D
PA-13,0,260345,0,260345,0.0,100.0,-100.0,R
PA-14,0,230865,0,230865,0.0,100.0,-100.0,R
PA-15,91729,213417,0,305146,30.06,69.94,-39.879999999999995,R
PA-16,130443,190546,0,320989,40.64,59.36,-18.72,R
PA-17,193615,169013,0,362628,53.39,46.61,6.780000000000001,D
RI-01,100318,56055,361,156734,64.15,35.85,28.300000000000004,D
RI-02,101432,93969,5688,201089,51.91,48.09,3.819999999999993,D
SC-01,115796,153757,3128,272681,42.96,57.04,-14.079999999999998,R
SC-02,98081,147699,346,246126,39.91,60.09,-20.180000000000007,R
SC-03,0,189971,4598,194569,0.0,100.0,-100.0,R
SC-04,0,165607,16758,182365,0.0,100.0,-100.0,R
SC-05,83299,154725,3683,241707,35.0,65.0,-30.0,R
SC-06,130923,79879,226,211028,62.11,37.89,24.22,D
SC-07,89030,164440,395,253865,35.12,64.88,-29.759999999999998,R
SD-01,0,253821,74020,327841,0.0,100.0,-100.0,R
TN-01,37049,147241,3713,188003,20.1,79.9,-59.800000000000004,R
TN-02,66673,141089,0,207762,32.09,67.91,-35.81999999999999,R
TN-03,60334,136639,2857,199830,30.63,69.37,-38.74000000000001,R
TN-04,44648,122401,6388,173437,26.73,73.27,-46.53999999999999,R
TN-05,93648,123558,4069,221275,43.11,56.89,-13.780000000000001,R
TN-06,65675,129388,0,195063,33.67,66.33,-32.66,R
TN-07,68973,108421,3428,180822,38.88,61.12,-22.239999999999995,R
TN-08,51102,155602,3611,210315,24.72,75.28,-50.56,R
TN-09,93800,35123,4995,133918,72.76,27.24,45.52000000000001,D
TX-01,51438,183224,0,234662,21.92,78.08,-56.16,R
TX-02,78496,151791,0,230287,34.09,65.91,-31.819999999999993,R
TX-03,100121,164240,6895,271256,37.87,62.13,-24.260000000000005,R
TX-04,79179,170781,6049,256009,31.68,68.32,-36.63999999999999,R
TX-05,71930,135595,4440,211965,34.66,65.34,-30.680000000000007,R
TX-06,0,149321,0,149321,0.0,100.0,-100.0,R
TX-07,115994,65835,0,181829,63.79,36.21,27.58,D
TX-08,68715,153127,3126,224968,30.97,69.03,-38.06,R
TX-09,125446,38161,0,163607,76.68,23.32,53.36000000000001,D
TX-10,86404,159469,6064,251937,35.14,64.86,-29.72,R
TX-11,0,151066,0,151066,0.0,100.0,-100.0,R
TX-12,85026,152953,0,237979,35.73,64.27,-28.54,R
TX-13,52910,161767,0,214677,24.65,75.35,-50.699999999999996,R
TX-14,63606,149543,0,213149,29.84,70.16,-40.31999999999999,R
TX-15,68097,80978,2814,151889,45.68,54.32,-8.64,R
TX-16,95510,54986,0,150496,63.46,36.54,26.92,D
TX-17,72801,144408,0,217209,33.52,66.48,-32.96,R
TX-18,110511,40941,4816,156268,72.97,27.03,45.94,D
TX-19,0,152321,37360,189681,0.0,100.0,-100.0,R
TX-20,115352,53226,21,168599,68.43,31.57,36.86000000000001,D
TX-21,122655,207426,0,330081,37.16,62.84,-25.680000000000007,R
TX-22,85653,150014,5548,241215,36.34,63.66,-27.319999999999993,R
TX-23,80947,116649,11180,208776,40.97,59.03,-18.060000000000002,R
TX-24,119878,177947,0,297825,40.25,59.75,-19.5,R
TX-25,0,185270,0,185270,0.0,100.0,-100.0,R
TX-26,0,183639,81384,265023,0.0,100.0,-100.0,R
TX-27,73611,133416,0,207027,35.56,64.44,-28.879999999999995,R
TX-28,93803,71778,0,165581,56.65,43.35,13.299999999999997,D
TX-29,71837,28765,0,100602,71.41,28.59,42.81999999999999,D
TX-30,134876,39209,6428,180513,77.48,22.52,54.96000000000001,D
TX-31,0,183185,0,183185,0.0,100.0,-100.0,R
TX-32,116005,61494,0,177499,65.36,34.64,30.72,D
TX-33,82081,29203,2746,114030,73.76,26.24,47.52000000000001,D
TX-34,70896,59464,4079,134439,54.38,45.62,8.760000000000005,D
TX-35,129599,48969,0,178568,72.58,27.42,45.16,D
TX-36,64016,145599,0,209615,30.54,69.46,-38.919999999999995,R
TX-37,219358,59923,6508,285789,78.54,21.46,57.080000000000005,D
TX-38,92302,163597,3970,259869,36.07,63.93,-27.86,R
UT-01,87986,178434,0,266420,33.03,66.97,-33.94,R
UT-02,88224,154883,16292,259399,36.29,63.71,-27.42,R
UT-03,83687,182497,17196,283380,31.44,68.56,-37.120000000000005,R
UT-04,82181,155110,16768,254059,34.63,65.37,-30.740000000000002,R
VA-01,147229,191828,3685,342742,43.42,56.58,-13.159999999999997,R
VA-02,143219,153328,449,296996,48.3,51.7,-3.4000000000000057,R
VA-03,139659,67668,523,207850,67.36,32.64,34.72,D
VA-04,159044,85503,431,244978,65.04,34.96,30.080000000000005,D
VA-05,129996,177191,603,307790,42.32,57.68,-15.36,R
VA-06,95410,173352,472,269234,35.5,64.5,-29.0,R
